name,info,tokens
Administration,,state|former|county|lawyer|chief|sheriff|speaker|attorney|secretary|district|mayor|minister|holder|council|session|clerk|assistant|assembly|chairman|ag|deputy|lt|state's|trooper|continental|administrator|oversee|parliament|connecticut|col|colonial|commissioner|govenor|supervisor|governor's|univ|provincial|delaware|sheriff's
American,cities,detroit|houston|tx|sc|nyc|ga|az|valley|rural|atlanta|dakota|cleveland|kansa|seattle|montana|brooklyn|toronto|phoenix|tn|denver|mn|philly|wyoming|delta|columbus|killeen|midwest|tampa|idaho|pittsburgh|portland|nashville|nebraska|memphis|southeast|vancouver|fla|southwest|northeast|sw|nm
American,states,texas|california|florida|nc|carolina|ny|alabama|michigan|arizona|ohio|georgia|alaska|wisconsin|arkansas|colorado|hawaii|virginia|massachusetts|missouri|louisiana|oklahoma|utah|mississippi|illinois|indiana|fl|iowa|cali|miami|minnesota|nj|wi|pennsylvania|tennessee|oregon|kentucky|oakland|nevada|maine|greensboro|maryland|vermont|calif|wv
Compare,comparative,more|better|le|different|rather|bigger|higher|greater|easier|harder|stronger|closer|cheaper|larger|differently|smaller|sooner|safer|louder|fewer|healthier|happier|poorer|slower|weaker|cleaner|simpler|brighter|darker|wiser|diff|warmer|kinder|wider|newer|mor|thicker|broader
Compare,superlative,dumbest|stupidest|funniest|smartest|coolest|saddest|craziest|scariest|nicest
Compliment,,beautiful|wonderful|lovely|adorable|unique|gorgeous|fabulous|iconic|remarkable|magnificent|spectacular|legendary|superb|phenomenal|perfection|flawless|majestic|marvelous|beautifull|grate
Congress,,party|congress|senator|senate|representative|rep|congressman|congressional|committee|rnc|legislature|legislator|lawmaker|scotus|party's|bipartisan|caucus|staffer|overwhelmingly|cfr|filibuster|incumbent|democratically|congresswoman|judiciary|gerrymander
Election,,election|debate|campaign|2016|2012|poll|presidential|sander|november|2017|primary|rig|08|2020|winner|nomination|ballot|2018|award|victory|contest|recount|delegate|electoral|lottery|superbowl|brexit|prize|landslide|booth|upcoming|powerball|nobel|re-election|referendum|reelection|inaugural|lotto|absentee|rp|emmy|midterm|2024|turnout|precinct|contender|2019|mccain-palin|write-in|elector
Emoji,angry,😡|👎|💩|😠|😈|🔫|💀|😤|💥|👹|👿|🤡|🐷|😴|👺|❌
Emoji,happy,😍|😊|😁|😎|😉|😀|😘|😄|😃|xx|xxx|🤗|🎄|🙂|safyre
Emoji,gesture,🏻|👍|🙏|👏|🏼|🖕|🏽|👌|🏾|🙌|🏿|✊|💪|👊|🤘|👮|👋|💁|🙋|🤙
Emoji,smile,:)|:d|<3|;)|:-)|:p|:/|;-)|=)|(:
Emoji,funny,😂|🙄|🤣|🤔|😜|😆|😅|😝|👀|😏|👽|🐸|😋|😛|🤓|🙃|🍗|🤑|🍕|👾|👅|🍻|🍒|🍔|🍺|🤪|🍌
Emoji,sad,:(|😭|😢|😩|😔|😞|😕|😥|💔|😖|😰|😣|:-(|😫|😪|😓|:'(|😟|🙁
Emoji,doubt,‍|✌|♀|🤦|♂|🤷|☝|👩|👨|👁|❓|👦
Emoji,surprise,😱|😳|😒|😮|😲|😬|😨|🙈|😐|😑|😵|😷|😯|😧|🙊|🤢|😦|🙀|😶|🤤|🤐
Fact,,fact|research|report|information|evidence|source|google|snopesref|document|data|statistic|online|scientific|cite|politifactref|verify|stats|survey|credible|apa|analysis|factual|sample|reliable|wikipedia|citation|ama|dobbs|documentation|narth|pew|cbo|disprove|validity|consensus|checker|census|scientifically|reputable|cdc|accuracy|statistical|confirmation|gallup|thorough|factcheck|rasmussen|factually|non-partisan|authenticity|graph|hypothesis|anecdotal|empirical
Fake,very fake,joke|disgrace|trick|hoax|failure|genius|tool|conspiracy|usual|prank|scam|myth|distraction|scheme|stunt|maverick|disappointment|slogan|coincidence|pawn|travesty|ploy|non-issue|bunk|farce|setup|metaphor|shocker|scapegoat|diversion|disservice|ponzi|prat|gimmick|grandstand
Fake,,fake|false|bias|twist|spin|mislead|incorrect|debunk|photoshopped|stag|bogus|contradict|distort|untrue|blatantly|fabricate|exaggerate|inaccurate|parrot|skew|disingenuous|deceptive|baseless|slant|misrepresent|rehearse|regurgitate|malicious|unfounded|repetitive|falsify|misinterpret|contrive|trickery
Fake,somewhat fake,lie|propaganda|corruption|rhetoric|tactic|spew|narrative|blatant|deception|rumor|outright|misinformation|manipulation|deceit|speculation|distortion|falsehood|hysteria|fabrication|innuendo|disinformation|hyperbole|misrepresentation|propoganda|untruth|fear-mongering
Financial,economic plan,bill|plan|policy|security|program|obamacare|budget|economic|immigration|aca|financial|affordable|reform|legislation|propose|agreement|daca|universal|stimulus|parenthood|proposal|fiscal|amnesty|socialize|taxation|nafta|ndaa|hb2|partnership|tpp|replacement|deregulation|expansion|resolution|hc|monetary|unaffordable|lifeline|comprehensive|trumpcare|gi|tariff|long-term|migration|prohibition|canada's|tort|sopa|unfunded|cra
Financial,accounting,number|cost|debt|low|price|increase|rate|income|lower|poverty|wage|rat|double|standard|deficit|unemployment|minimum|premium|percentage|growth|iq|score|deductible|burden|inflation|rank|decline|decrease|employment|gap|triple|annual|gdp|temperature|exceed|skyrocket|shrink|margin|ceiling|reduction|significantly|maximum|bracket|temp|yearly|annually|ratio|workforce|soar|drastically|caput|spike|earner|dramatically|threshold|digit|productivity|plummet|massively|disparity|index|quadruple|frequency|probability|median|exponentially|artificially|foreclosure|china's|incarceration|marginal|intake
Financial,monetary,money|tax|dollar|fund|account|ticket|profit|credit|wealth|taxpayer|property|foundation|cash|vacation|subscription|loan|donation|salary|contract|charity|revenue|capital|package|payment|surplus|bond|donor|exchange|household|contribution|dime|paycheck|subsidy|mortgage|relief|fortune|refund|discount|monthly|hike|loophole|deduction|bonus|incentive|payroll|reservation|postage|weekly|fundraiser|membership|liability|monies|unlimited|charitable|receipt|compensation|pp|deposit|supplement|bulk|retiree|reparation|exemption|waiver|paypal|slush|transaction|lavish|payout|royalty|quota|nickel|hefty|expenditure|unpaid|inheritance|401k|annuity|payoff|raiser|beneficiary
